"Year","Pann"
1970,2348.7
1971,2771.3
1972,2716.57173913043
1973,2779.3
1974,3309.3
1975,2145.8
1976,2508.6
1977,2633.6
1978,2971.1
1979,3295.1
1980,3091.2
1981,2885
1982,2722.60869565217
1983,2444.6
1984,2999.9
1985,1881.1
1986,2839.5
1987,2215.7
1988,2061.6
1989,1495.3
1990,2375.1
1991,2356.5
1992,2837.62826086957
1993,2101.2
1994,2571.4
1995,2123.4
1996,2651.1
1997,2173.2
1998,2371.2
1999,2483.9
2000,2524.9
2001,1744.4
2002,2872.9
2003,2261.7
2004,2283.2
2005,2164.8
2006,1705.5
2007,2486.5
2008,2580.7
2009,2297.9
2010,1964.2
2011,2386.7
2012,2103.3
2013,3337.5
2014,2885.1
2015,2646.3
